run,global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
s55_constant,600,76800,0.0657,0.9778,0.9674,0.9882,0.8577,0.256,0.9899,0.246,581
s55_constant,700,89600,0.0545,0.9587,0.9966,0.9208,0.959,0.6653,0.9415,0.6069,676
s55_constant,800,102400,0.0393,0.9793,0.9938,0.9647,0.9585,0.6089,0.9536,0.5625,771
s55_constant,900,115200,0.039,0.9858,0.9852,0.9864,0.8088,0.248,0.9899,0.2379,866
s55_constant,1000,128000,0.0343,0.9883,0.9931,0.9836,0.8445,0.3972,0.9778,0.375,961
s55_constant,1100,140800,0.0311,0.9707,0.9433,0.998,0.4638,0.1089,0.998,0.1069,1056
s55_constant,1200,153600,0.0236,0.9876,0.998,0.9772,0.9737,0.5444,0.9819,0.5262,1151
s55_constant,1300,166400,0.0243,0.9936,0.9955,0.9917,0.8971,0.2661,0.994,0.2601,1246
s55_constant,1400,179200,0.0197,0.9923,0.9975,0.9872,0.9611,0.4294,0.9859,0.4153,1341
s55_constant,1500,192000,0.0217,0.9544,0.9096,0.9992,0.4228,0.0746,1.0,0.0746,1435
s55_constant,1600,204800,0.0196,0.9944,0.9913,0.9975,0.854,0.2238,0.998,0.2218,1530
s55_constant,1700,217600,0.0145,0.9904,0.998,0.9827,0.979,0.5544,0.9798,0.5343,1627
s55_constant,1800,230400,0.0154,0.9953,0.9958,0.9949,0.8676,0.252,0.996,0.248,1722
