global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5281,0.8186,0.8268,0.8104,0.6355,0.6754,0.6815,0.3569,137
200,25600,0.2932,0.8057,0.9834,0.6281,0.8666,0.9073,0.4637,0.3710,265
300,38400,0.2256,0.9172,0.8996,0.9347,0.7327,0.6714,0.8992,0.5706,395
400,51200,0.1903,0.8950,0.9832,0.8068,0.8487,0.9133,0.6694,0.5827,525
500,64000,0.1655,0.9313,0.8949,0.9678,0.6523,0.6452,0.9516,0.5968,656
600,76800,0.1489,0.9456,0.9342,0.9570,0.7532,0.7298,0.9032,0.6331,785
700,89600,0.1319,0.9406,0.9238,0.9573,0.5746,0.6250,0.9456,0.5706,914
800,102400,0.1245,0.9370,0.8892,0.9848,0.4737,0.5040,0.9778,0.4819,1043
900,115200,0.1004,0.9498,0.9809,0.9186,0.7742,0.7661,0.8931,0.6593,1172
1000,128000,0.0888,0.7323,0.4657,0.9990,0.2022,0.0806,0.9980,0.0786,1302
1100,140800,0.0768,0.9681,0.9840,0.9523,0.8750,0.7782,0.9315,0.7097,1431
1200,153600,0.0679,0.9389,0.9972,0.8807,0.8824,0.8931,0.7581,0.6512,1560
1300,166400,0.0619,0.9744,0.9571,0.9917,0.6429,0.3649,0.9960,0.3609,1689
1400,179200,0.0486,0.9616,0.9984,0.9249,0.9223,0.8730,0.9093,0.7823,1818
1500,192000,0.0391,0.9185,0.8380,0.9990,0.4359,0.1613,1.0000,0.1613,1947
1600,204800,0.0381,0.9873,0.9817,0.9930,0.6828,0.4980,0.9919,0.4899,2077
1700,217600,0.0371,0.9145,0.8298,0.9993,0.4076,0.0706,1.0000,0.0706,2205
1800,230400,0.0326,0.8824,0.7655,0.9994,0.2721,0.0625,1.0000,0.0625,2333
