global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5288,0.8237,0.9293,0.7180,0.7269,0.8065,0.5000,0.3065,135
200,25600,0.2802,0.8816,0.8900,0.8731,0.6507,0.7399,0.7399,0.4798,264
300,38400,0.2256,0.8951,0.9652,0.8250,0.9065,0.8629,0.6653,0.5282,394
400,51200,0.1949,0.7669,0.9921,0.5416,0.9863,0.9677,0.3085,0.2762,523
500,64000,0.1772,0.9144,0.8575,0.9714,0.5704,0.5565,0.9435,0.5000,652
600,76800,0.1548,0.8587,0.9912,0.7262,0.9428,0.9214,0.5766,0.4980,781
700,89600,0.1435,0.8639,0.9897,0.7381,0.9706,0.9073,0.6149,0.5222,912
800,102400,0.1281,0.9395,0.9551,0.9239,0.8030,0.7399,0.9032,0.6431,1041
900,115200,0.1119,0.8341,0.9946,0.6736,0.9722,0.9597,0.5262,0.4859,1171
1000,128000,0.1060,0.9691,0.9803,0.9580,0.7831,0.6794,0.9415,0.6210,1300
1100,140800,0.0863,0.9641,0.9472,0.9811,0.5819,0.5605,0.9839,0.5444,1428
1200,153600,0.0789,0.9343,0.8783,0.9902,0.6208,0.4032,0.9919,0.3952,1559
1300,166400,0.0652,0.9650,0.9524,0.9776,0.7174,0.6431,0.9456,0.5887,1688
1400,179200,0.0666,0.9440,0.8920,0.9959,0.5819,0.2984,0.9940,0.2923,1816
1500,192000,0.0530,0.9681,0.9396,0.9966,0.5935,0.3165,0.9980,0.3145,1946
1600,204800,0.0492,0.9731,0.9936,0.9526,0.9496,0.7621,0.9456,0.7077,2075
1700,217600,0.0410,0.9849,0.9878,0.9819,0.8734,0.5524,0.9839,0.5363,2204
1800,230400,0.0380,0.9869,0.9809,0.9928,0.6586,0.4597,0.9960,0.4556,2332
