global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5845,0.7278,0.5391,0.9164,0.3524,0.3730,0.8810,0.2540,108
200,25600,0.3605,0.6170,0.2409,0.9931,0.0972,0.0484,0.9940,0.0423,204
300,38400,0.2180,0.8580,0.7236,0.9925,0.3792,0.0988,0.9899,0.0887,300
400,51200,0.1229,0.9644,0.9791,0.9497,0.7180,0.4960,0.9556,0.4516,396
500,64000,0.0877,0.9702,0.9912,0.9492,0.9217,0.5020,0.9476,0.4496,493
600,76800,0.0626,0.9370,0.9965,0.8776,0.9806,0.8226,0.8548,0.6774,589
700,89600,0.0525,0.8860,0.7738,0.9982,0.1654,0.0464,0.9980,0.0444,685
800,102400,0.0417,0.9851,0.9802,0.9900,0.7421,0.2923,0.9879,0.2802,781
900,115200,0.0374,0.9901,0.9909,0.9892,0.7931,0.3347,0.9899,0.3246,877
1000,128000,0.0290,0.9916,0.9891,0.9942,0.8288,0.2157,0.9960,0.2117,973
1100,140800,0.0283,0.9603,0.9993,0.9213,0.9858,0.7419,0.9214,0.6633,1068
1200,153600,0.0252,0.9919,0.9964,0.9875,0.8803,0.4214,0.9899,0.4113,1164
1300,166400,0.0239,0.9925,0.9876,0.9975,0.8246,0.1613,0.9980,0.1593,1260
1400,179200,0.0173,0.8855,1.0000,0.7711,0.9984,0.8367,0.7681,0.6048,1357
1500,192000,0.0180,0.9866,0.9989,0.9743,0.9238,0.4899,0.9839,0.4738,1453
1600,204800,0.0204,0.9964,0.9968,0.9960,0.7967,0.2702,0.9960,0.2661,1549
1700,217600,0.0159,0.9955,0.9977,0.9934,0.8703,0.2883,0.9940,0.2823,1645
1800,230400,0.0135,0.9941,0.9989,0.9893,0.9569,0.4194,0.9899,0.4093,1741
