eps_units,eps,steps_to_threshold,delta_mean_units,delta_max_units,p_natural_deployed,p_synth_deployed,psnr_db,lpips_vgg,png_path
1,0.00392156862745098,51,0.7237833738327026,1.0000075101852417,0.999968409538269,3.161512722726911e-05,49.510822599661815,0.043204016983509064,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps001.png
2,0.00784313725490196,52,1.3620500564575195,2.000007390975952,1.0,4.462606639776823e-08,44.350564952716034,0.09307988733053207,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps002.png
4,0.01568627450980392,54,2.585171937942505,4.000007152557373,1.0,1.2000544872062258e-12,38.852697572646484,0.15045925974845886,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps004.png
8,0.03137254901960784,58,4.638398170471191,8.000006675720215,1.0,7.182459140050698e-22,33.6111937207461,0.22775521874427795,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps008.png
16,0.06274509803921569,66,6.3634796142578125,16.0000057220459,1.0,2.599451932387424e-35,30.291177210529753,0.293840229511261,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps016.png
32,0.12549019607843137,82,7.276923179626465,32.000003814697266,1.0,8.313763658992707e-41,28.86453164909608,0.32656002044677734,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps032.png
64,0.25098039215686274,114,8.463034629821777,64.00000762939453,1.0,5.763540583767973e-42,27.540016336067556,0.3583109974861145,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps064.png
96,0.3764705882352941,146,9.474482536315918,77.99999237060547,1.0,3.797518838320254e-43,26.558933204249318,0.38553664088249207,/home/trabbani/WAVES/adv_attack/eps_sweep/adv_eps096.png
