global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5581,0.6828,0.9774,0.3882,0.9296,0.9335,0.2016,0.1351,101
200,25600,0.3528,0.8556,0.7882,0.9231,0.5215,0.2540,0.9335,0.1875,196
300,38400,0.2113,0.8592,0.9826,0.7357,0.9412,0.7460,0.7137,0.4597,292
400,51200,0.1216,0.8314,0.6679,0.9948,0.2694,0.0827,0.9940,0.0766,387
500,64000,0.0817,0.8371,0.6760,0.9983,0.1943,0.0524,0.9980,0.0504,482
600,76800,0.0720,0.9374,0.8772,0.9976,0.5741,0.0907,0.9980,0.0887,578
700,89600,0.0610,0.9825,0.9882,0.9768,0.8598,0.3649,0.9738,0.3387,673
800,102400,0.0426,0.9563,0.9969,0.9158,0.9832,0.7621,0.8710,0.6331,768
900,115200,0.0358,0.9792,0.9972,0.9611,0.9632,0.5847,0.9577,0.5423,864
1000,128000,0.0313,0.9563,0.9992,0.9135,0.9932,0.7218,0.9375,0.6593,960
1100,140800,0.0294,0.8897,0.9993,0.7802,0.9942,0.8790,0.7540,0.6331,1057
1200,153600,0.0286,0.9931,0.9955,0.9907,0.8608,0.3528,0.9899,0.3427,1153
1300,166400,0.0215,0.9624,0.9261,0.9987,0.4013,0.0645,1.0000,0.0645,1248
1400,179200,0.0191,0.9921,0.9976,0.9866,0.9039,0.3327,0.9819,0.3145,1344
1500,192000,0.0237,0.9944,0.9947,0.9940,0.9501,0.3629,0.9940,0.3569,1439
1600,204800,0.0149,0.9295,0.8593,0.9996,0.3225,0.0383,1.0000,0.0383,1534
1700,217600,0.0189,0.9939,0.9961,0.9917,0.9407,0.3206,0.9940,0.3145,1629
1800,230400,0.0118,0.9899,0.9992,0.9807,0.9527,0.4355,0.9819,0.4173,1726
