global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5682,0.6212,0.2732,0.9692,0.2138,0.1411,0.9637,0.1048,100
200,25600,0.3691,0.6716,0.3567,0.9865,0.1544,0.1210,0.9899,0.1109,195
300,38400,0.2212,0.8934,0.8309,0.9558,0.5572,0.4294,0.9335,0.3629,291
400,51200,0.1328,0.8316,0.6679,0.9953,0.1528,0.0504,0.9980,0.0484,386
500,64000,0.0877,0.8846,0.9982,0.7709,0.9853,0.8690,0.7540,0.6230,482
600,76800,0.0715,0.9753,0.9578,0.9927,0.8346,0.2843,0.9919,0.2762,577
700,89600,0.0533,0.9469,0.8961,0.9977,0.5651,0.1371,0.9980,0.1351,672
800,102400,0.0467,0.9349,0.8730,0.9968,0.3393,0.1190,0.9960,0.1149,767
900,115200,0.0404,0.7835,0.9993,0.5676,0.9989,0.9556,0.4738,0.4294,863
1000,128000,0.0321,0.9882,0.9825,0.9939,0.8062,0.3206,0.9899,0.3105,958
1100,140800,0.0302,0.9683,0.9376,0.9989,0.4869,0.0847,0.9980,0.0827,1053
1200,153600,0.0252,0.9819,0.9659,0.9980,0.6807,0.1411,1.0000,0.1411,1148
1300,166400,0.0267,0.9928,0.9975,0.9880,0.8902,0.4194,0.9879,0.4073,1243
1400,179200,0.0161,0.9810,0.9632,0.9988,0.5131,0.0907,1.0000,0.0907,1338
1500,192000,0.0178,0.9921,0.9950,0.9892,0.9186,0.3347,0.9919,0.3266,1433
1600,204800,0.0188,0.9952,0.9935,0.9968,0.6765,0.2097,0.9980,0.2077,1528
1700,217600,0.0152,0.9955,0.9934,0.9977,0.6623,0.1875,0.9980,0.1855,1623
1800,230400,0.0166,0.9937,0.9983,0.9891,0.8776,0.3306,0.9899,0.3206,1718
