global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
100,12800,0.5050,0.8029,0.9666,0.6392,0.9086,0.8810,0.4698,0.3508,136
200,25600,0.2745,0.8945,0.9055,0.8836,0.8372,0.6774,0.7923,0.4698,265
300,38400,0.2327,0.9141,0.8911,0.9372,0.7369,0.6875,0.8931,0.5806,394
400,51200,0.1826,0.8766,0.7741,0.9791,0.4575,0.4234,0.9677,0.3911,523
500,64000,0.1736,0.9140,0.8564,0.9715,0.6408,0.4980,0.9597,0.4577,653
600,76800,0.1536,0.9290,0.8874,0.9705,0.6628,0.5605,0.9677,0.5282,781
700,89600,0.1426,0.7962,0.5975,0.9949,0.2180,0.2177,1.0000,0.2177,911
800,102400,0.1311,0.9571,0.9591,0.9551,0.8136,0.6855,0.9556,0.6411,1040
900,115200,0.1115,0.9645,0.9686,0.9604,0.8403,0.7319,0.9355,0.6673,1170
1000,128000,0.1042,0.8911,0.7920,0.9902,0.3876,0.3065,0.9960,0.3024,1301
1100,140800,0.0957,0.9620,0.9400,0.9841,0.7689,0.5907,0.9819,0.5726,1429
1200,153600,0.0793,0.9647,0.9510,0.9784,0.7862,0.4758,0.9657,0.4415,1558
1300,166400,0.0794,0.9398,0.9954,0.8841,0.8687,0.9194,0.8024,0.7218,1687
1400,179200,0.0620,0.9769,0.9929,0.9608,0.8682,0.7964,0.9254,0.7218,1817
1500,192000,0.0554,0.8600,0.7209,0.9990,0.3524,0.1129,0.9980,0.1109,1947
1600,204800,0.0462,0.9814,0.9697,0.9930,0.8062,0.5302,0.9919,0.5222,2076
1700,217600,0.0428,0.9771,0.9619,0.9922,0.7190,0.4294,0.9879,0.4173,2205
1800,230400,0.0467,0.9684,0.9389,0.9979,0.7600,0.3488,0.9940,0.3427,2334
