run,global_step,samples_seen,train_loss_recent,test_acc,test_tpr,test_tnr,ood_diffdb,ood_coco_edit,coco_nat_tnr,balanced,elapsed_s
s55_constant,600,76800,0.1591,0.9074,0.9786,0.8362,0.9039,0.8347,0.7621,0.5968,784
s55_constant,700,89600,0.1458,0.8964,0.8107,0.9822,0.489,0.5323,0.9677,0.5,912
s55_constant,800,102400,0.1231,0.9541,0.9369,0.9713,0.7243,0.5685,0.9516,0.5202,1042
s55_constant,900,115200,0.1129,0.9316,0.9936,0.8695,0.9149,0.9032,0.8024,0.7056,1172
s55_constant,1000,128000,0.1036,0.9676,0.9686,0.9666,0.7542,0.7198,0.9516,0.6714,1301
s55_constant,1100,140800,0.0787,0.6863,0.9992,0.3733,0.9895,0.9899,0.3226,0.3125,1430
s55_constant,1200,153600,0.0743,0.9773,0.9713,0.9833,0.7852,0.5363,0.9819,0.5181,1559
s55_constant,1300,166400,0.0699,0.9158,0.8344,0.9973,0.4785,0.2782,0.998,0.2762,1688
s55_constant,1400,179200,0.0574,0.9798,0.9686,0.9911,0.7384,0.5,0.9919,0.4919,1816
s55_constant,1500,192000,0.0492,0.9792,0.9649,0.9934,0.6287,0.4718,0.996,0.4677,1945
s55_constant,1600,204800,0.0482,0.9429,0.996,0.8898,0.947,0.877,0.871,0.748,2074
s55_constant,1700,217600,0.0385,0.9783,0.9952,0.9614,0.9422,0.7762,0.9556,0.7319,2203
s55_constant,1800,230400,0.0353,0.9801,0.9977,0.9625,0.9701,0.7823,0.9597,0.7419,2332
